Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,150.199997,151.429993,147.479996,149.990005,148.295609,226779000
2021-11-15,150.369995,161.020004,149.339996,160.550003,158.736298,462419300
2021-11-22,161.679993,165.699997,156.360001,156.809998,155.038544,359933200
2021-11-29,159.369995,170.300003,157.800003,161.839996,160.011780,669611100
2021-12-06,164.289993,179.630005,164.279999,179.449997,177.422791,569227700
2021-12-13,181.119995,182.130005,169.690002,171.139999,169.206680,769299200
2021-12-20,168.279999,176.850006,167.460007,176.279999,174.288635,359176900
2021-12-27,177.089996,181.330002,177.070007,177.570007,175.564056,340248100
2022-01-03,177.830002,182.940002,171.029999,172.169998,170.225052,481949000
2022-01-10,169.080002,177.179993,168.169998,173.070007,171.114914,422655700
2022-01-17,171.509995,172.539993,162.300003,162.410004,160.575302,400041100
2022-01-24,160.020004,170.350006,154.699997,170.330002,168.405838,688258600
2022-01-31,170.160004,176.240005,169.509995,172.389999,170.442566,458553300
2022-02-07,172.860001,176.649994,168.039993,168.639999,166.947357,412902000
2022-02-14,167.369995,173.339996,166.190002,167.300003,165.620804,362252300
2022-02-21,164.979996,166.690002,152.000000,164.850006,163.195404,414293700
2022-02-28,163.059998,168.910004,161.970001,163.169998,161.532272,418671400
2022-03-07,163.360001,165.020004,154.500000,154.729996,153.176956,521334100
2022-03-14,151.449997,164.479996,150.100006,163.979996,162.334152,503123700
2022-03-21,163.509995,175.279999,163.009995,174.720001,172.966354,446083700
2022-03-28,172.169998,179.610001,171.940002,174.309998,172.560471,465395100
2022-04-04,174.570007,178.490005,169.199997,170.089996,168.382797,393099200
2022-04-11,168.710007,171.270004,165.039993,165.289993,163.630981,297460200
2022-04-18,163.919998,171.529999,161.500000,161.789993,160.166138,376787700
2022-04-25,161.119995,166.199997,155.380005,157.649994,156.067657,541697200
2022-05-02,156.710007,166.479996,153.270004,157.279999,155.701401,566928200
2022-05-09,154.929993,156.740005,138.800003,147.110001,145.847427,686227300
2022-05-16,145.550003,149.770004,132.610001,137.589996,136.409119,548244700
2022-05-23,137.789993,149.679993,137.139999,149.639999,148.355728,495921700
2022-05-30,149.070007,151.740005,144.460007,145.380005,144.132294,338923400
